"filename", "language", "Python", "comment", "blank", "total"
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\baichuan\hf_baichuan_13b_chat.py", "Python", -18, 0, -3, -21
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\baichuan\hf_baichuan_7b.py", "Python", -18, 0, -3, -21
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\hf_qwen2_5_0_5b_instruct.py", "Python", -11, 0, -2, -13
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\hf_qwen2_5_14b_instruct.py", "Python", -11, 0, -2, -13
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\hf_qwen2_5_1_5b_instruct.py", "Python", -11, 0, -2, -13
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\hf_qwen2_5_32b_instruct.py", "Python", -11, 0, -2, -13
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\hf_qwen2_5_3b_instruct.py", "Python", -11, 0, -2, -13
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\hf_qwen2_5_72b_instruct.py", "Python", -11, 0, -2, -13
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\hf_qwen2_5_7b_instruct.py", "Python", -11, 0, -2, -13
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\hf_qwen_2_5_14b.py", "Python", -11, 0, -2, -13
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\hf_qwen_2_5_32b.py", "Python", -11, 0, -1, -12
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\hf_qwen_2_5_7b.py", "Python", -11, 0, -1, -12
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\lmdeploy_qwen2_5_0_5b_instruct.py", "Python", -14, 0, -2, -16
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\lmdeploy_qwen2_5_14b.py", "Python", -14, 0, -2, -16
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\lmdeploy_qwen2_5_14b_instruct.py", "Python", -14, 0, -2, -16
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\lmdeploy_qwen2_5_1_5b.py", "Python", -14, 0, -2, -16
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\lmdeploy_qwen2_5_1_5b_instruct.py", "Python", -14, 0, -2, -16
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\lmdeploy_qwen2_5_32b.py", "Python", -14, 0, -2, -16
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\lmdeploy_qwen2_5_32b_instruct.py", "Python", -14, 0, -2, -16
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\lmdeploy_qwen2_5_3b_instruct.py", "Python", -14, 0, -2, -16
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\lmdeploy_qwen2_5_72b.py", "Python", -16, 0, -2, -18
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\lmdeploy_qwen2_5_72b_instruct.py", "Python", -14, 0, -2, -16
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\lmdeploy_qwen2_5_7b.py", "Python", -14, 0, -2, -16
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\lmdeploy_qwen2_5_7b_instruct.py", "Python", -14, 0, -2, -16
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\vllm_qwen2_5_0_5b_instruct.py", "Python", -13, 0, -2, -15
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\vllm_qwen2_5_14b_instruct.py", "Python", -13, 0, -2, -15
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\vllm_qwen2_5_1_5b_instruct.py", "Python", -13, 0, -2, -15
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\vllm_qwen2_5_32b_instruct.py", "Python", -13, 0, -2, -15
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\vllm_qwen2_5_3b_instruct.py", "Python", -13, 0, -2, -15
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\opencompass\configs\models\qwen2_5\vllm_qwen2_5_72b_instruct.py", "Python", -13, 0, -2, -15
"Total", "-", -899, 0, -136, -1035
